Ref_Date,GEO,NAICS,EXPENDITURE,Vector,Coordinate,Value
2013,Canada,Spectator sports,Total operating expense,v99850269,1.1.1,100.0
2014,Canada,Spectator sports,Total operating expense,v99850269,1.1.1,100.0
2013,Canada,Spectator sports,Cost of goods sold,v99850270,1.1.2,3.6
2014,Canada,Spectator sports,Cost of goods sold,v99850270,1.1.2,3.3
2013,Canada,Spectator sports,"Salaries, wages, commissions and benefits",v99850271,1.1.3,45.1
2014,Canada,Spectator sports,"Salaries, wages, commissions and benefits",v99850271,1.1.3,45.4
2013,Canada,Spectator sports,Subcontracts,v99850272,1.1.4,1.6
2014,Canada,Spectator sports,Subcontracts,v99850272,1.1.4,1.6
2013,Canada,Spectator sports,Research and development fees,v99850273,1.1.5,x
2014,Canada,Spectator sports,Research and development fees,v99850273,1.1.5,x
2013,Canada,Spectator sports,Professional and business fees,v99850274,1.1.6,1.4
2014,Canada,Spectator sports,Professional and business fees,v99850274,1.1.6,1.6
2013,Canada,Spectator sports,Utilities,v99850275,1.1.7,0.7
2014,Canada,Spectator sports,Utilities,v99850275,1.1.7,0.8
2013,Canada,Spectator sports,Office and computer related expenses,v99850276,1.1.8,1.5
2014,Canada,Spectator sports,Office and computer related expenses,v99850276,1.1.8,1.2
2013,Canada,Spectator sports,"Telephone, Internet and other telecommunication",v99850277,1.1.9,0.3
2014,Canada,Spectator sports,"Telephone, Internet and other telecommunication",v99850277,1.1.9,0.2
2013,Canada,Spectator sports,"Business taxes, licenses and permits",v99850278,1.1.10,0.7
2014,Canada,Spectator sports,"Business taxes, licenses and permits",v99850278,1.1.10,0.7
2013,Canada,Spectator sports,"Royalties, franchise fees and memberships",v99850279,1.1.11,2.1
2014,Canada,Spectator sports,"Royalties, franchise fees and memberships",v99850279,1.1.11,1.6
2013,Canada,Spectator sports,Crown charges,v99850280,1.1.12,0.0
2014,Canada,Spectator sports,Crown charges,v99850280,1.1.12,0.0
2013,Canada,Spectator sports,Rental and leasing,v99850281,1.1.13,4.1
2014,Canada,Spectator sports,Rental and leasing,v99850281,1.1.13,3.9
2013,Canada,Spectator sports,Repair and maintenance,v99850282,1.1.14,1.2
2014,Canada,Spectator sports,Repair and maintenance,v99850282,1.1.14,1.0
2013,Canada,Spectator sports,Amortization and depreciation,v99850283,1.1.15,3.3
2014,Canada,Spectator sports,Amortization and depreciation,v99850283,1.1.15,3.9
2013,Canada,Spectator sports,Insurance,v99850284,1.1.16,0.8
2014,Canada,Spectator sports,Insurance,v99850284,1.1.16,0.8
2013,Canada,Spectator sports,"Advertising, marketing, promotions, meals and entertainment",v99850285,1.1.17,4.3
2014,Canada,Spectator sports,"Advertising, marketing, promotions, meals and entertainment",v99850285,1.1.17,4.5
2013,Canada,Spectator sports,"Travel, meetings and conventions",v99850286,1.1.18,3.3
2014,Canada,Spectator sports,"Travel, meetings and conventions",v99850286,1.1.18,3.7
2013,Canada,Spectator sports,Financial services,v99850287,1.1.19,0.3
2014,Canada,Spectator sports,Financial services,v99850287,1.1.19,0.3
2013,Canada,Spectator sports,Other non-production-related costs and expenses,v99850288,1.1.20,x
2014,Canada,Spectator sports,Other non-production-related costs and expenses,v99850288,1.1.20,x
2013,Canada,Spectator sports,All other cost and expenses,v99850289,1.1.21,25.3
2014,Canada,Spectator sports,All other cost and expenses,v99850289,1.1.21,25.3
2013,Canada,"Promoters (presenters) of performing arts, sports and similar events",Total operating expense,v99850290,1.2.1,100.0
2014,Canada,"Promoters (presenters) of performing arts, sports and similar events",Total operating expense,v99850290,1.2.1,100.0
2013,Canada,"Promoters (presenters) of performing arts, sports and similar events",Cost of goods sold,v99850291,1.2.2,9.0
