Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1926,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2404.0
1927,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1592.0
1928,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1380.0
1929,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1604.0
1930,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1656.0
1931,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2124.0
1932,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2276.0
1933,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1788.0
1934,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2332.0
1935,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2186.0
1936,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1248.0
1937,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1540.0
1938,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2328.0
1939,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2060.0
1940,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2384.0
1941,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2014.0
1942,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1948.0
1943,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1312.0
1944,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1660.0
1945,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1448.0
1946,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1636.0
1947,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1412.0
1948,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,2260.0
1949,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,876.0
1950,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1196.0
1951,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,884.0
1952,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1240.0
1953,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1688.0
1954,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1056.0
1955,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1236.0
1956,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,280.0
1957,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1060.0
1958,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,893.0
1959,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1217.0
1960,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1095.0
1961,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1203.0
1962,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1022.0
1963,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1461.0
1964,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1078.0
1965,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,991.0
1966,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1340.0
1967,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1609.0
1968,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1600.0
1969,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1216.0
1970,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,1259.0
1971,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,855.0
1972,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,680.0
1973,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,403.0
1974,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,347.0
1975,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,348.0
1976,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,210.0
1977,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,39.0
1978,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,140.0
1979,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,48.0
1980,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,60.0
1981,Canada,"Total, production",Loganberries,Pounds,"Fresh and processed (x 1,000)",v74412,1.1.1.1.1,32.0
1926,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1927,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1928,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1929,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1930,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1931,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1932,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1933,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1934,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1935,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1936,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1937,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1938,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1939,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1940,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1941,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1942,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1943,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1944,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1945,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1946,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1947,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1948,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,0.0
1949,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,620.0
1950,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,815.0
1951,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,925.0
1952,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,571.0
1953,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,151.0
1954,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,294.0
1955,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,312.0
1956,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,192.0
1957,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,304.0
1958,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,289.0
1959,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,668.0
1960,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,542.0
1961,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,719.0
1962,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,530.0
1963,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,1071.0
1964,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,1040.0
1965,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,1550.0
1966,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,1797.0
1967,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,2537.0
1968,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,3200.0
1969,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,2866.0
1970,Canada,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74619,1.1.2.1.1,5922.0
