Ref_Date,GEO,NAICS,SUMMARY,Vector,Coordinate,Value
2013,Canada,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729752,1.1.1,804.6
2015,Canada,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729752,1.1.1,994.5
2013,Canada,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729753,1.1.2,724.3
2015,Canada,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729753,1.1.2,898.8
2013,Canada,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729754,1.1.3,346.1
2015,Canada,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729754,1.1.3,433.8
2013,Canada,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729755,1.1.4,10.0
2015,Canada,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729755,1.1.4,9.6
2013,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729756,2.1.1,x
2015,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729756,2.1.1,x
2013,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729757,2.1.2,x
2015,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729757,2.1.2,x
2013,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729758,2.1.3,0.0
2015,Newfoundland and Labrador,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729758,2.1.3,0.0
2013,Newfoundland and Labrador,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729759,2.1.4,x
2015,Newfoundland and Labrador,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729759,2.1.4,x
2013,Prince Edward Island,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729760,3.1.1,0.0
2015,Prince Edward Island,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729760,3.1.1,x
2013,Prince Edward Island,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729761,3.1.2,x
2015,Prince Edward Island,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729761,3.1.2,x
2013,Prince Edward Island,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729762,3.1.3,0.0
2015,Prince Edward Island,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729762,3.1.3,x
2013,Prince Edward Island,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729763,3.1.4,x
2015,Prince Edward Island,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729763,3.1.4,x
2013,Nova Scotia,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729764,4.1.1,3.4
2015,Nova Scotia,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729764,4.1.1,3.0
2013,Nova Scotia,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729765,4.1.2,2.5
2015,Nova Scotia,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729765,4.1.2,2.5
2013,Nova Scotia,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729766,4.1.3,0.9
2015,Nova Scotia,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729766,4.1.3,x
2013,Nova Scotia,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729767,4.1.4,25.9
2015,Nova Scotia,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729767,4.1.4,17.5
2013,New Brunswick,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729768,5.1.1,x
2015,New Brunswick,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729768,5.1.1,0.7
2013,New Brunswick,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729769,5.1.2,x
2015,New Brunswick,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729769,5.1.2,0.6
2013,New Brunswick,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729770,5.1.3,x
2015,New Brunswick,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729770,5.1.3,x
2013,New Brunswick,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729771,5.1.4,x
2015,New Brunswick,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729771,5.1.4,23.7
2013,Quebec,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729772,6.1.1,239.2
2015,Quebec,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729772,6.1.1,313.0
2013,Quebec,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729773,6.1.2,223.3
2015,Quebec,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729773,6.1.2,292.4
2013,Quebec,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729774,6.1.3,107.9
2015,Quebec,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729774,6.1.3,150.8
2013,Quebec,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729775,6.1.4,6.7
2015,Quebec,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729775,6.1.4,6.6
2013,Ontario,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729776,7.1.1,301.9
2015,Ontario,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729776,7.1.1,345.6
2013,Ontario,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729777,7.1.2,250.4
2015,Ontario,Post-production and other motion picture and video industries,"Operating expenses (x 1,000,000)",v96729777,7.1.2,290.0
2013,Ontario,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729778,7.1.3,107.2
2015,Ontario,Post-production and other motion picture and video industries,"Salaries, wages, commissions and benefits (x 1,000,000)",v96729778,7.1.3,123.7
2013,Ontario,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729779,7.1.4,17.1
2015,Ontario,Post-production and other motion picture and video industries,Operating profit margin (percent),v96729779,7.1.4,16.1
2013,Manitoba,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729780,8.1.1,0.7
2015,Manitoba,Post-production and other motion picture and video industries,"Operating revenue (x 1,000,000)",v96729780,8.1.1,0.9
