Ref_Date,GEO,NAICS,EXPENDITURE,Vector,Coordinate,Value
2014,Canada,Newspaper publishers,Total operating expense,v106814465,1.1.1,100.0
2014,Canada,Newspaper publishers,Cost of goods sold,v106814466,1.1.2,13.0
2014,Canada,Newspaper publishers,"Salaries, wages, commissions and benefits",v106814467,1.1.3,36.8
2014,Canada,Newspaper publishers,Subcontracts,v106814468,1.1.4,12.9
2014,Canada,Newspaper publishers,Research and development fees,v106814469,1.1.5,x
2014,Canada,Newspaper publishers,Professional and business fees,v106814470,1.1.6,1.2
2014,Canada,Newspaper publishers,Utilities,v106814471,1.1.7,0.7
2014,Canada,Newspaper publishers,Office and computer related expenses,v106814472,1.1.8,9.9
2014,Canada,Newspaper publishers,"Telephone, Internet and other telecommunication",v106814473,1.1.9,0.5
2014,Canada,Newspaper publishers,"Business taxes, licences and permits",v106814474,1.1.10,0.5
2014,Canada,Newspaper publishers,"Royalties, franchise fees and memberships",v106814475,1.1.11,0.3
2014,Canada,Newspaper publishers,Crown charges,v106814476,1.1.12,x
2014,Canada,Newspaper publishers,Rental and leasing,v106814477,1.1.13,2.2
2014,Canada,Newspaper publishers,Repair and maintenance,v106814478,1.1.14,0.6
2014,Canada,Newspaper publishers,Amortization and depreciation,v106814479,1.1.15,3.6
2014,Canada,Newspaper publishers,Insurance,v106814480,1.1.16,x
2014,Canada,Newspaper publishers,"Advertising, marketing, promotions, meals and entertainment",v106814481,1.1.17,3.0
2014,Canada,Newspaper publishers,"Travel, meetings and conventions",v106814482,1.1.18,1.0
2014,Canada,Newspaper publishers,Financial services,v106814483,1.1.19,0.6
2014,Canada,Newspaper publishers,Other non-production-related costs and expenses,v106814484,1.1.20,2.9
2014,Canada,Newspaper publishers,All other cost and expenses,v106814485,1.1.21,10.2
