Ref_Date,GEO,VEGETABLE,HOLDING,Vector,Coordinate,Value
1970/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,46583.0
1970/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,42659.0
1970/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,37499.0
1970/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,32952.0
1970/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,29026.0
1970/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,25474.0
1970/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,25344.0
1970/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,32437.0
1970/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,48712.0
1970/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,57383.0
1970/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,57942.0
1970/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,54398.0
1971/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,50212.0
1971/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,45488.0
1971/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,40291.0
1971/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,35492.0
1971/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,31023.0
1971/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,26324.0
1971/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,25120.0
1971/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,28795.0
1971/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,40728.0
1971/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,48694.0
1971/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52451.0
1971/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,48001.0
1972/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,43371.0
1972/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,37654.0
1972/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,33445.0
1972/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,28835.0
1972/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,24482.0
1972/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,20003.0
1972/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,16924.0
1972/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,22341.0
1972/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,36563.0
1972/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44676.0
1972/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,52124.0
1972/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,47540.0
1973/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,43936.0
1973/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,36755.0
1973/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,32549.0
1973/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,26693.0
1973/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,20963.0
1973/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,16684.0
1973/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,14834.0
1973/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,24756.0
1973/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,42025.0
1973/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,51618.0
1973/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,55114.0
1973/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,54416.0
1974/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49166.0
1974/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,44200.0
1974/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,39621.0
1974/04,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,34764.0
1974/05,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,28401.0
1974/06,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,25931.0
1974/07,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,22673.0
1974/08,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,30202.0
1974/09,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,45487.0
1974/10,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,59293.0
1974/11,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,62205.0
1974/12,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,60044.0
1975/01,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,57007.0
1975/02,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,53513.0
1975/03,Canada,Grand total,Frozen vegetables held in storages and factories,v722382,1.1.1,49885.0
