Ref_Date,GEO,NAICS,EXPENDITURE,Vector,Coordinate,Value
2014,Canada,Motion picture and video exhibition,Total operating expense,v105988858,1.1.1,100.0
2014,Canada,Motion picture and video exhibition,Cost of goods sold,v105988859,1.1.2,9.5
2014,Canada,Motion picture and video exhibition,"Salaries, wages, commissions and benefits",v105988860,1.1.3,16.3
2014,Canada,Motion picture and video exhibition,Subcontracts,v105988861,1.1.4,x
2014,Canada,Motion picture and video exhibition,Research and development fees,v105988862,1.1.5,x
2014,Canada,Motion picture and video exhibition,Professional and business fees,v105988863,1.1.6,0.6
2014,Canada,Motion picture and video exhibition,Utilities,v105988864,1.1.7,2.9
2014,Canada,Motion picture and video exhibition,Office and computer related expenses,v105988865,1.1.8,0.5
2014,Canada,Motion picture and video exhibition,"Telephone, Internet and other telecommunication",v105988866,1.1.9,x
2014,Canada,Motion picture and video exhibition,"Business taxes, licences and permits",v105988867,1.1.10,4.4
2014,Canada,Motion picture and video exhibition,"Royalties, franchise fees and memberships",v105988868,1.1.11,x
2014,Canada,Motion picture and video exhibition,Crown charges,v105988869,1.1.12,0.0
2014,Canada,Motion picture and video exhibition,Rental and leasing,v105988870,1.1.13,15.0
2014,Canada,Motion picture and video exhibition,Repair and maintenance,v105988871,1.1.14,2.6
2014,Canada,Motion picture and video exhibition,Amortization and depreciation,v105988872,1.1.15,6.5
2014,Canada,Motion picture and video exhibition,Insurance,v105988873,1.1.16,x
2014,Canada,Motion picture and video exhibition,"Advertising, marketing, promotions, meals and entertainment",v105988874,1.1.17,1.0
2014,Canada,Motion picture and video exhibition,"Travel, meetings and conventions",v105988875,1.1.18,x
2014,Canada,Motion picture and video exhibition,Financial services,v105988876,1.1.19,0.9
2014,Canada,Motion picture and video exhibition,Other non-production-related costs and expenses,v105988877,1.1.20,0.7
2014,Canada,Motion picture and video exhibition,All other cost and expenses,v105988878,1.1.21,6.0
